method,frac_removed,prob,example_idx
ATTN,0.3,0.8818640112876892,47
ATTN,0.5,0.878521203994751,47
ATTN,0.0,0.9474089741706848,48
ATTN,0.05,0.9425951838493347,48
ATTN,0.1,0.9361593127250671,48
ATTN,0.2,0.9610779881477356,48
ATTN,0.3,0.9334783554077148,48
ATTN,0.5,0.6382853984832764,48
ATTN,0.0,0.9486541152000427,49
ATTN,0.05,0.9471225142478943,49
ATTN,0.1,0.942341685295105,49
ATTN,0.2,0.9388781785964966,49
ATTN,0.3,0.9387335181236267,49
ATTN,0.5,0.9404910206794739,49
ATTN,0.0,0.43756404519081116,50
ATTN,0.05,0.35269832611083984,50
ATTN,0.1,0.9055128693580627,50
ATTN,0.2,0.8435792922973633,50
ATTN,0.3,0.7732276916503906,50
ATTN,0.5,0.15765434503555298,50
ATTN,0.0,0.8733587265014648,51
ATTN,0.05,0.8888306617736816,51
ATTN,0.1,0.914523720741272,51
ATTN,0.2,0.9199778437614441,51
ATTN,0.3,0.924866259098053,51
ATTN,0.5,0.9369572401046753,51
ATTN,0.0,0.9137983918190002,52
ATTN,0.05,0.901099681854248,52
ATTN,0.1,0.9047821164131165,52
ATTN,0.2,0.9096712470054626,52
ATTN,0.3,0.896795392036438,52
ATTN,0.5,0.9315193295478821,52
ATTN,0.0,0.940527081489563,53
ATTN,0.05,0.9372912645339966,53
ATTN,0.1,0.9371024966239929,53
ATTN,0.2,0.9342856407165527,53
ATTN,0.3,0.9324274659156799,53
ATTN,0.5,0.9290075898170471,53
ATTN,0.0,0.9075518846511841,54
ATTN,0.05,0.9155146479606628,54
ATTN,0.1,0.9213560819625854,54
ATTN,0.2,0.9177827835083008,54
ATTN,0.3,0.921948254108429,54
ATTN,0.5,0.3787720203399658,54
ATTN,0.0,0.8706873655319214,55
ATTN,0.05,0.8927390575408936,55
ATTN,0.1,0.8857707977294922,55
ATTN,0.2,0.8713505268096924,55
ATTN,0.3,0.84702068567276,55
ATTN,0.5,0.9121118783950806,55
ATTN,0.0,0.9251002073287964,56
ATTN,0.05,0.9292353391647339,56
ATTN,0.1,0.9298036098480225,56
ATTN,0.2,0.9218977093696594,56
ATTN,0.3,0.9319702386856079,56
ATTN,0.5,0.9489141702651978,56
ATTN,0.0,0.9220744967460632,57
ATTN,0.05,0.9321004152297974,57
ATTN,0.1,0.9332185387611389,57
ATTN,0.2,0.9272234439849854,57
ATTN,0.3,0.9422112703323364,57
ATTN,0.5,0.9415773749351501,57
ATTN,0.0,0.927814245223999,58
ATTN,0.05,0.9184504151344299,58
ATTN,0.1,0.9255138635635376,58
ATTN,0.2,0.9244281053543091,58
ATTN,0.3,0.9257416725158691,58
ATTN,0.5,0.92555832862854,58
ATTN,0.0,0.9323779344558716,59
ATTN,0.05,0.9375342130661011,59
ATTN,0.1,0.9440252184867859,59
ATTN,0.2,0.9446581602096558,59
ATTN,0.3,0.9472495317459106,59
ATTN,0.5,0.955313503742218,59
ATTN,0.0,0.9018698334693909,60
ATTN,0.05,0.9209490418434143,60
ATTN,0.1,0.9321083426475525,60
ATTN,0.2,0.9339044690132141,60
ATTN,0.3,0.945599377155304,60
ATTN,0.5,0.9411077499389648,60
ATTN,0.0,0.7041329145431519,61
ATTN,0.05,0.5965328216552734,61
ATTN,0.1,0.6953814625740051,61
ATTN,0.2,0.7690278887748718,61
ATTN,0.3,0.5544119477272034,61
ATTN,0.5,0.5962240695953369,61
ATTN,0.0,0.895502507686615,62
ATTN,0.05,0.8059600591659546,62
ATTN,0.1,0.7947594523429871,62
ATTN,0.2,0.8737599849700928,62
ATTN,0.3,0.8473775386810303,62
ATTN,0.5,0.4420725703239441,62
ATTN,0.0,0.7112074494361877,63
ATTN,0.05,0.7306914925575256,63
ATTN,0.1,0.6316736340522766,63
ATTN,0.2,0.4922487735748291,63
ATTN,0.3,0.7086482644081116,63
ATTN,0.5,0.8583757281303406,63
ATTN,0.0,0.9082919955253601,64
ATTN,0.05,0.9209808707237244,64
ATTN,0.1,0.9226303696632385,64
ATTN,0.2,0.9093484878540039,64
ATTN,0.3,0.9325071573257446,64
ATTN,0.5,0.9396723508834839,64
ATTN,0.0,0.6947773098945618,65
ATTN,0.05,0.7390656471252441,65
ATTN,0.1,0.7155138254165649,65
ATTN,0.2,0.6406615376472473,65
ATTN,0.3,0.783200740814209,65
ATTN,0.5,0.7247733473777771,65
ATTN,0.0,0.97104811668396,66
ATTN,0.05,0.9701281785964966,66
ATTN,0.1,0.972224771976471,66
ATTN,0.2,0.9719549417495728,66
ATTN,0.3,0.9722847938537598,66
ATTN,0.5,0.9690807461738586,66
ATTN,0.0,0.8856005072593689,67
ATTN,0.05,0.8832213878631592,67
ATTN,0.1,0.900469958782196,67
ATTN,0.2,0.8843209147453308,67
ATTN,0.3,0.698711633682251,67
ATTN,0.5,0.6833519339561462,67
ATTN,0.0,0.9361022710800171,68
ATTN,0.05,0.9318429827690125,68
ATTN,0.1,0.9349597096443176,68
ATTN,0.2,0.8806777596473694,68
ATTN,0.3,0.9123886227607727,68
ATTN,0.5,0.9219631552696228,68
ATTN,0.0,0.9252353310585022,69
ATTN,0.05,0.9235692024230957,69
ATTN,0.1,0.9338681697845459,69
ATTN,0.2,0.9262149333953857,69
ATTN,0.3,0.9348627924919128,69
ATTN,0.5,0.9318554997444153,69
ATTN,0.0,0.9199290871620178,70
ATTN,0.05,0.9220015406608582,70
ATTN,0.1,0.880027174949646,70
